X,CH1,
Second,Volt,
-7.8939991e-03,1.52000e+00,
-7.8929989e-03,1.52000e+00,
-7.8919986e-03,1.52000e+00,
-7.8909993e-03,1.52000e+00,
-7.8899991e-03,1.52000e+00,
-7.8889988e-03,1.54000e+00,
-7.8879986e-03,1.54000e+00,
-7.8869993e-03,1.52000e+00,
-7.8859990e-03,1.54000e+00,
-7.8849988e-03,1.52000e+00,
-7.8839995e-03,1.52000e+00,
-7.8829993e-03,1.52000e+00,
-7.8819990e-03,1.52000e+00,
-7.8809988e-03,1.52000e+00,
-7.8799995e-03,1.52000e+00,
-7.8789992e-03,1.52000e+00,
-7.8779990e-03,1.52000e+00,
-7.8769987e-03,1.54000e+00,
-7.8759994e-03,1.52000e+00,
-7.8749992e-03,1.52000e+00,
-7.8739990e-03,1.52000e+00,
-7.8729987e-03,1.52000e+00,
-7.8719994e-03,1.52000e+00,
-7.8709992e-03,1.52000e+00,
-7.8699989e-03,1.52000e+00,
-7.8689987e-03,1.52000e+00,
-7.8679994e-03,1.54000e+00,
-7.8669991e-03,1.52000e+00,
-7.8659989e-03,1.52000e+00,
-7.8649987e-03,1.52000e+00,
-7.8639993e-03,1.54000e+00,
-7.8629991e-03,1.52000e+00,
-7.8619989e-03,1.52000e+00,
-7.8609986e-03,1.54000e+00,
-7.8599993e-03,1.52000e+00,
-7.8589991e-03,1.52000e+00,
-7.8579988e-03,1.52000e+00,
-7.8569986e-03,1.52000e+00,
-7.8559993e-03,1.52000e+00,
-7.8549990e-03,1.52000e+00,
-7.8539988e-03,1.52000e+00,
-7.8529995e-03,1.52000e+00,
-7.8519993e-03,1.52000e+00,
-7.8509990e-03,1.52000e+00,
-7.8499988e-03,1.52000e+00,
-7.8489995e-03,1.52000e+00,
-7.8479992e-03,1.52000e+00,
-7.8469990e-03,1.52000e+00,
-7.8459987e-03,1.52000e+00,
-7.8449994e-03,1.52000e+00,
-7.8439992e-03,1.54000e+00,
-7.8429990e-03,1.54000e+00,
-7.8419987e-03,1.52000e+00,
-7.8409994e-03,1.52000e+00,
-7.8399992e-03,1.52000e+00,
-7.8389989e-03,1.54000e+00,
-7.8379987e-03,1.54000e+00,
-7.8369994e-03,1.52000e+00,
-7.8359991e-03,1.52000e+00,
-7.8349989e-03,1.52000e+00,
-7.8339987e-03,1.52000e+00,
-7.8329993e-03,1.52000e+00,
-7.8319991e-03,1.54000e+00,
